date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:37	6937/6937	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260367782-1b19%22	https://niftymarketing.com/wp-includes/js/dist/hooks.min.js?ver=50e23bed88bcb9e6e14023e9961698c1	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-includes/js/dist/hooks.minf521.js	(from https://niftymarketing.com/)
19:10:39	10166/10166	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260367782-27b6%22	https://niftymarketing.com/wp-includes/js/dist/i18n.min.js?ver=db9a9a37da262883343e941c3731bc67	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-includes/js/dist/i18n.min87d6.js	(from https://niftymarketing.com/)
19:10:41	3041/3041	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260367782-be1%22	https://niftymarketing.com/wp-includes/js/dist/a11y.min.js?ver=5e00de7a43b31bbb9eaf685f089a3903	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-includes/js/dist/a11y.min9559.js	(from https://niftymarketing.com/)
19:10:43	1848/1848	---MCZ	200	added ('OK')	application/javascript	etag:W/%226101d957-738%22	https://niftymarketing.com/wp-content/plugins/gravityforms/js/jquery.json.min.js?ver=2.5.8	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/plugins/gravityforms/js/jquery.json.mined42.js	(from https://niftymarketing.com/)
19:10:45	43945/43945	---MCZ	200	added ('OK')	application/javascript	etag:W/%226101d957-aba9%22	https://niftymarketing.com/wp-content/plugins/gravityforms/js/gravityforms.min.js?ver=2.5.8	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/plugins/gravityforms/js/gravityforms.mined42.js	(from https://niftymarketing.com/)
19:10:47	4236/4236	---MCZ	200	added ('OK')	application/javascript	etag:W/%226101d957-108c%22	https://niftymarketing.com/wp-content/plugins/gravityforms/js/jquery.maskedinput.min.js?ver=2.5.8	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/plugins/gravityforms/js/jquery.maskedinput.mined42.js	(from https://niftymarketing.com/)
19:10:49	31018/31018	---MCZ	200	added ('OK')	text/css	etag:W/%225e4f2fb5-792a%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/resources/fontawesome-4.7.0.min.css	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/resources/fontawesome-4.7.0.min.css	(from https://niftymarketing.com/)
19:10:51	21948/21948	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e4f2fb5-55bc%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.eot	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.eot	(from https://niftymarketing.com/wp-content/themes/twentynineteen-child/style.css?ver=1.0.0)
19:10:53	21948/21948	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e4f2fb5-55bc%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.eot?	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Romand41d.eot	(from https://niftymarketing.com/wp-content/themes/twentynineteen-child/style.css?ver=1.0.0)
19:10:55	8832/8832	---M--	200	added ('OK')	font/woff2	etag:%225e4f2fb5-2280%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.woff2	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.woff2	(from https://niftymarketing.com/wp-content/themes/twentynineteen-child/style.css?ver=1.0.0)
19:10:57	12408/12408	---M--	200	added ('OK')	font/woff	etag:%225e4f2fb5-3078%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.woff	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.woff	(from https://niftymarketing.com/wp-content/themes/twentynineteen-child/style.css?ver=1.0.0)
19:11:00	21784/21784	---M--	200	added ('OK')	application/octet-stream	etag:%225e4f2fb5-5518%22	https://niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.ttf	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/themes/twentynineteen-child/fonts/Avenir-Roman.ttf	(from https://niftymarketing.com/wp-content/themes/twentynineteen-child/style.css?ver=1.0.0)
